city,country,latitude,longitude,max temp,humidity,cloudiness,windspeed
nara,JP,34.68,135.8,22.0,73,90,5.7
goma,CD,-1.67,29.23,13.62,87,34,0.22
chalons-en-champagne,FR,48.95,4.37,14.0,100,75,4.6
wanning,AT,48.64,13.53,8.89,81,75,4.1
nieuwpoort,BE,51.13,2.75,11.67,81,40,3.6
kalispell,US,48.2,-114.32,10.56,57,90,4.1
estrela,BR,-29.5,-51.96,17.22,98,100,0.5
acapulco,MX,16.86,-99.88,31.0,66,40,3.1
sitka,US,37.17,-99.65,21.11,33,0,8.94
lafia,NG,8.5,8.51,24.2,92,67,1.59
fonte boa,BR,-2.51,-66.09,29.36,62,19,0.97
northam,AU,-31.65,116.67,11.0,87,90,2.6
malayal,PH,7.21,121.94,28.36,70,100,2.16
mendoza,AR,-32.89,-68.84,22.0,11,0,3.6
nuuk,GL,64.17,-51.74,4.0,86,75,6.7
ust-kulom,RU,61.69,53.69,3.1,88,98,2.42
lavrentiya,RU,65.58,-170.99,0.76,95,100,13.39
ati,TD,13.21,18.34,25.69,77,99,7.42
camacha,PT,33.08,-16.33,23.0,83,20,4.1
oussouye,SN,12.49,-16.54,29.0,83,0,2.1
turayf,SA,31.68,38.65,25.0,38,0,4.1
dunedin,NZ,-45.87,170.5,8.63,67,35,5.06
okhotsk,RU,59.36,143.24,-4.91,60,1,5.54
burnie,AU,-41.05,145.91,10.73,98,100,5.7
bambanglipuro,ID,-7.95,110.28,23.52,88,87,2.74
hellvik,NO,59.92,5.78,5.0,86,0,0.5
ambon,FR,47.55,-2.56,17.0,87,90,1.5
pinkafeld,AT,47.37,16.12,10.56,61,20,2.1
flinders,AU,-34.58,150.85,16.67,100,100,2.46
yichun,CN,47.72,128.88,1.33,64,0,2.47
dafeng,CN,33.2,120.46,13.64,70,82,2.99
poum,MK,41.28,20.71,7.13,91,16,0.81
fairview,CA,56.07,-118.38,12.22,61,75,7.2
hami,CN,42.84,93.51,11.12,32,0,1.81
wladyslawowo,PL,54.79,18.4,8.89,80,20,2.6
vostok,RU,46.45,135.83,0.12,76,0,2.18
pacific grove,US,36.62,-121.92,28.33,33,1,2.6
whitehorse,CA,60.72,-135.06,10.56,57,75,5.7
guipavas,FR,48.43,-4.4,16.0,100,90,6.2
quatre cocos,MU,-20.21,57.76,23.0,94,75,3.1
thinadhoo,MV,0.53,72.93,27.5,73,100,4.0
hashtrud,IR,37.48,47.05,10.24,49,75,1.16
isangel,VU,-19.55,169.27,25.0,73,75,4.1
wanaka,NZ,-44.7,169.14,5.0,74,8,0.92
tazovskiy,RU,67.47,78.7,1.08,88,100,2.67
hobyo,SO,5.35,48.53,25.85,83,0,7.03
ust-maya,RU,60.42,134.54,-4.9,88,78,1.97
santa cruz,BR,-6.22,-36.02,26.49,44,93,7.31
nishihara,JP,35.74,139.53,24.44,78,75,6.7
lulea,SE,65.58,22.15,5.0,73,100,4.1
acajutla,SV,13.59,-89.83,32.0,52,40,3.1
bulgan,MN,48.81,103.53,0.42,52,50,3.02
suntar,RU,62.16,117.65,2.39,98,100,2.03
maceio,BR,-9.67,-35.74,26.0,74,20,6.2
manoel urbano,BR,-8.84,-69.26,33.93,38,81,1.97
bayangol,MN,48.91,106.09,2.54,58,2,2.45
imeni poliny osipenko,RU,52.42,136.49,0.83,68,99,1.68
guiglo,CI,6.55,-7.5,21.94,98,100,1.88
guangyuan,CN,32.43,105.86,14.1,97,100,1.2
chicama,PE,-7.84,-79.15,16.0,82,90,4.6
biltine,TD,14.53,20.93,27.62,59,91,3.42
chapais,CA,49.78,-74.86,10.0,60,1,3.1
turukhansk,RU,65.8,87.96,1.95,96,100,4.57
avera,US,33.19,-82.53,27.22,65,90,4.6
dauriya,RU,49.93,116.85,3.43,62,99,3.75
